"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: All Industries - Filter: Absence - Filter Item: N/A - Indicator: (Seas) Employment Level LNS12000000"
"Time:","01/1948 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | All Industries | Absence | N/A | (Seas) Employment Level LNS12000000, 01/1948 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184764AAB1D4"
"ColumnCount:",2
"RowCount:",896

"Time","All Industries, Absence, N/A, (Seas) Employment Level LNS12000000 (Number in thousands)"
"05/2005",141609
"06/2005",141714
"07/2005",142026
"08/2005",142434
"09/2005",142401
"10/2005",142548
"11/2005",142499
"12/2005",142752
"01/2006",143150
"02/2006",143457
"03/2006",143741
"04/2006",143761
"05/2006",144089
"06/2006",144353
"07/2006",144202
"08/2006",144625
"09/2006",144815
"10/2006",145314
"11/2006",145534
"12/2006",145970
"01/2007",146028
"02/2007",146057
"03/2007",146320
"04/2007",145586
"05/2007",145903
"06/2007",146063
"07/2007",145905
"08/2007",145682
"09/2007",146244
"10/2007",145946
"11/2007",146595
"12/2007",146273
"01/2008",146378
"02/2008",146156
"03/2008",146086
"04/2008",146132
"05/2008",145908
"06/2008",145737
"07/2008",145532
"08/2008",145203
"09/2008",145076
"10/2008",144802
"11/2008",144100
"12/2008",143369
"01/2009",142152
"02/2009",141640
"03/2009",140707
"04/2009",140656
"05/2009",140248
"06/2009",140009
"07/2009",139901
"08/2009",139492
"09/2009",138818
"10/2009",138432
"11/2009",138659
"12/2009",138013
"01/2010",138438
"02/2010",138581
"03/2010",138751
"04/2010",139297
"05/2010",139241
"06/2010",139141
"07/2010",139179
"08/2010",139438
"09/2010",139396
"10/2010",139119
"11/2010",139044
"12/2010",139301
"01/2011",139250
"02/2011",139394
"03/2011",139639
"04/2011",139586
"05/2011",139624
"06/2011",139384
"07/2011",139524
"08/2011",139942
"09/2011",140183
"10/2011",140368
"11/2011",140826
"12/2011",140902
"01/2012",141584
"02/2012",141858
"03/2012",142036
"04/2012",141899
"05/2012",142206
"06/2012",142391
"07/2012",142292
"08/2012",142291
"09/2012",143044
"10/2012",143431
"11/2012",143333
"12/2012",143330
"01/2013",143292
"02/2013",143362
"03/2013",143316
"04/2013",143635
"05/2013",143882
"06/2013",143999
"07/2013",144264
"08/2013",144326
"09/2013",144418
"10/2013",143537
"11/2013",144479
"12/2013",144778
"01/2014",145150
"02/2014",145134
"03/2014",145648
"04/2014",145667
"05/2014",145825
"06/2014",146247
"07/2014",146399
"08/2014",146530
"09/2014",146778
"10/2014",147427
"11/2014",147404
"12/2014",147615
"01/2015",148145
"02/2015",148045
"03/2015",148128
"04/2015",148511
"05/2015",148817
"06/2015",148816
"07/2015",148830
"08/2015",149181
"09/2015",148826
"10/2015",149246
"11/2015",149463
"12/2015",150128
"01/2016",150653
"02/2016",150939
"03/2016",151218
"04/2016",151074
"05/2016",151132
"06/2016",151223
"07/2016",151554
"08/2016",151779
"09/2016",151761
"10/2016",151793
"11/2016",151954
"12/2016",152157
"01/2017",152152
"02/2017",152480
"03/2017",153065
"04/2017",153255
"05/2017",153069
"06/2017",153318
"07/2017",153569
"08/2017",153503
"09/2017",154286
"10/2017",153609
"11/2017",153805
"12/2017",153904
"01/2018",154493
"02/2018",155259
"03/2018",155303
"04/2018",155362
"05/2018",155694
"06/2018",155734
"07/2018",156115
"08/2018",155512
"09/2018",155970
"10/2018",156294
"11/2018",156606
"12/2018",156767
"01/2019",156614
"02/2019",156992
"03/2019",156869
"04/2019",156744
"05/2019",156868
"06/2019",157123
"07/2019",157488
"08/2019",157780
"09/2019",158249
"10/2019",158356
"11/2019",158504
"12/2019",158772
"01/2020",158653
"02/2020",158866
"03/2020",155599
"04/2020",133320
"05/2020",137182
"06/2020",142218
"07/2020",143727
"08/2020",147176
"09/2020",147569
"10/2020",149719
"11/2020",149761
"12/2020",149883
"01/2021",150004
"02/2021",150367
"03/2021",150940
"04/2021",151259
"05/2021",151550
"06/2021",151612
"07/2021",152704
"08/2021",153167
"09/2021",153806
"10/2021",154234
"11/2021",155324
"12/2021",155975
"01/2022",157174
"02/2022",157722
"03/2022",158458
"04/2022",158105
"05/2022",158426
"06/2022",158111
"07/2022",158290
"08/2022",158732



"Publisher:", "Bureau of Labor Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
